State,Candidate,Percent,Type
IA,BS,0.635416666666667,Positive
IA,EW,0.739583333333333,Positive
IA,KH,0.63953488372093,Positive
IA,PB,0.818181818181818,Positive
IA,JB,0.65979381443299,Positive
NH,BS,0.741573033707865,Positive
NH,EW,0.715909090909091,Positive
NH,KH,0.647058823529412,Positive
NH,PB,0.785714285714286,Positive
NH,JB,0.647058823529412,Positive
SC,BS,0.680412371134021,Positive
SC,EW,0.705263157894737,Positive
SC,KH,0.634408602150538,Positive
SC,PB,0.588888888888889,Positive
SC,JB,0.787878787878788,Positive
NV,BS,0.767676767676768,Positive
NV,EW,0.840425531914894,Positive
NV,KH,0.685393258426966,Positive
NV,PB,0.670588235294118,Positive
NV,JB,0.744897959183674,Positive
IA,BS,0.364583333333333,Negative
IA,EW,0.260416666666667,Negative
IA,KH,0.36046511627907,Negative
IA,PB,0.181818181818182,Negative
IA,JB,0.34020618556701,Negative
NH,BS,0.258426966292135,Negative
NH,EW,0.284090909090909,Negative
NH,KH,0.352941176470588,Negative
NH,PB,0.214285714285714,Negative
NH,JB,0.352941176470588,Negative
SC,BS,0.319587628865979,Negative
SC,EW,0.294736842105263,Negative
SC,KH,0.365591397849462,Negative
SC,PB,0.411111111111111,Negative
SC,JB,0.212121212121212,Negative
NV,BS,0.232323232323232,Negative
NV,EW,0.159574468085106,Negative
NV,KH,0.314606741573034,Negative
NV,PB,0.329411764705882,Negative
NV,JB,0.255102040816327,Negative
